X,Y,OBJECTID,Block,Lot,PermitNum,VBN,DateIssue,DateIssued,ExistingUse,ProposedUse,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address
1416504.33728239,594025.963446304,29964,0430,035,USE2023-53811,Y,2023/09/22 00:00:00+00,Sep 22 2023 12,1-08,1-08,G,11,Upton,0430 035,836 HARLEM AVE
1416546.19021705,594026.994612232,29967,0430,038,USE2021-53368,Y,2021/08/24 00:00:00+00,Aug 24 2021 12,1-08,1-08,G,11,Upton,0430 038,830 HARLEM AVE
1416595.25901656,594029.271510556,29970,0430,041,USE2022-54080,Y,2022/06/24 00:00:00+00,Jun 24 2022 12,1-08,1-08,G,11,Upton,0430 041,824 HARLEM AVE
1416626.31341639,594031.094341561,29972,0430,043,USE2022-54082,Y,2022/06/29 00:00:00+00,Jun 29 2022 12,1-08,1-08,G,11,Upton,0430 043,820 HARLEM AVE
1416681.75523464,594033.961461812,29978,0430,047,USE2023-52711,Y,2023/06/01 00:00:00+00,Jun  1 2023 12,1-08,1-08,G,11,Upton,0430 047,812 HARLEM AVE
1416695.78178139,594034.752142638,29979,0430,048,USE2023-52710,Y,2023/06/01 00:00:00+00,Jun  1 2023 12,1-08,1-08,G,11,Upton,0430 048,810 HARLEM AVE
1416710.09966613,594035.311852813,29980,0430,049,USE2023-52709,Y,2023/06/01 00:00:00+00,Jun  1 2023 12,1-08,1-08,G,11,Upton,0430 049,808 HARLEM AVE
1416724.02253856,594032.712120473,29981,0430,050,USE2021-51456,Y,2021/09/16 00:00:00+00,Sep 16 2021 12,7-03,1-08,G,11,Upton,0430 050,806 HARLEM AVE
1416738.30236563,594025.803013563,29982,0430,051,USE2023-52708,Y,2023/06/01 00:00:00+00,Jun  1 2023 12,1-08,1-08,G,11,Upton,0430 051,804 HARLEM AVE
1416809.62636997,594067.186460972,29995,0430,062,USE2023-50034,Y,2023/02/13 00:00:00+00,Feb 13 2023 12,7-03,1-08,G,11,Upton,0430 062,1116 MYRTLE AVE
1416800.38032547,594076.79011631,29996,0430,063,USE2017-54333,Y,2018/05/07 15:30:01+00,May  7 2018  3,1-08,1-08,G,11,Upton,0430 063,1118 MYRTLE AVE
1416745.37977931,594133.835277811,30002,0430,069,USE2020-52691,Y,2020/06/26 00:00:00+00,Jun 26 2020 12,1-08,1-08,G,11,Upton,0430 069,1130 MYRTLE AVE
